subject_id,config_id,algorithm,representation,constraint_handler,seed,runtime_s,f1_best,f2_best,front_size,hypervolume,igd,spacing,delta_spread
1,paes_di_repair,PAES,direct_index,repair,118,1.9827395000029355,2942.3300000000004,139.2995999876307,40,527249.4089484739,442.8995426028979,283.73289858467837,0.9924493432936311
1,paes_di_repair,PAES,direct_index,repair,119,2.0049508749943925,2731.3300000000004,123.81199732489924,40,461385.2831909774,440.4623523875829,408.49787112776903,1.1417988790386986
1,paes_di_repair,PAES,direct_index,repair,120,1.9644091250083875,2883.9500000000003,128.2859128057238,40,325095.1167120029,473.5661437204729,146.15249404560635,0.9700242434045534
1,paes_di_repair,PAES,direct_index,repair,121,2.0016945410025073,2759.9500000000003,132.60996379673432,40,488979.51877765317,485.80439364226385,339.34558360378816,1.1012965698173822
1,paes_di_repair,PAES,direct_index,repair,122,2.064323084006901,2775.3300000000004,147.51105043706548,40,932026.0291011522,387.29517897531065,388.1001198876937,1.0569794230896088
1,paes_di_repair,PAES,direct_index,repair,123,2.0319288749888074,3004.9500000000003,124.68278893292171,40,393525.07586677745,551.9216233189799,272.4192087599789,1.0578119036016616
1,paes_di_repair,PAES,direct_index,repair,124,2.004584166992572,4132.57,163.22843589156855,40,553115.2513869517,1032.302983651113,170.84601805944706,0.9365083204281804
1,paes_di_repair,PAES,direct_index,repair,125,2.033084000009694,1747.9500000000003,165.21422723024773,40,396151.8625322753,637.4453339359279,96.79248451349603,0.9529221123699677
1,paes_di_repair,PAES,direct_index,repair,126,1.9565570419945288,4594.330000000002,189.97191139391182,40,568793.5173754757,1363.1913888403776,82.17011409555883,0.9549827104726192
1,paes_di_repair,PAES,direct_index,repair,127,1.96646129200235,3911.3300000000004,127.8096865259646,40,509833.0762129808,919.1547809179706,183.6212327950201,1.0283992572651193
1,paes_di_repair,PAES,direct_index,repair,128,2.0195042499981355,3929.3300000000004,114.28217054624562,40,935998.1958992033,959.3269910949574,508.5912304731368,1.1331047918550594
1,paes_di_repair,PAES,direct_index,repair,129,2.132405790995108,2283.3300000000004,133.58411165164932,40,508948.7691025665,272.5208452763544,211.5110386736846,0.9045149157087773
1,mopso_rk,MOPSO,random_key,none,100,0.387233292000019,3344.9500000000003,178.0523394984034,10,502997.6094884509,685.2719591257693,365.2024702031036,0.7098938151737294
1,mopso_rk,MOPSO,random_key,none,101,0.37593945900152903,2868.19,218.83633582303978,17,760537.9841300311,501.55825356049206,270.48548177240866,0.7392513699980023
1,mopso_rk,MOPSO,random_key,none,102,0.4121885829954408,3904.9500000000003,210.83997125908132,32,654701.4394317655,896.7803544741168,287.13108857397765,1.1390066570548716
